variable,value
n,3044
n_pos,1480
n_neg,1564
n_train,1753
n_train_pos,854
n_train_neg,899
n_test,1291
n_test_pos,626
n_test_neg,665
Accuracy,0.4926
Precision,0.4881
Recall,0.9521
Specificity,0.0602
MCC,0.027
F1,0.6454
AUC,0.5061
AUPR,0.488
