variable,value
n,9602
n_pos,4815
n_neg,4787
n_train,7656
n_train_pos,3828
n_train_neg,3828
n_test,1946
n_test_pos,987
n_test_neg,959
Accuracy,0.7076
Precision,0.7646
Recall,0.612
Specificity,0.806
MCC,0.4256
F1,0.6798
AUC,0.709
AUPR,0.6647
