variable,value
n,276334
n_pos,25131
n_neg,251203
n_train,183211
n_train_pos,16664
n_train_neg,166547
n_test,93123
n_test_pos,8467
n_test_neg,84656
Accuracy,0.959
Precision,0.8309
Recall,0.6894
Specificity,0.986
MCC,0.7352
F1,0.7536
AUC,0.8377
AUPR,0.601
