variable,value
n,9663
n_pos,4824
n_neg,4839
n_train,7704
n_train_pos,3853
n_train_neg,3851
n_test,1959
n_test_pos,971
n_test_neg,988
Accuracy,0.7203
Precision,0.6651
Recall,0.8774
Specificity,0.5658
MCC,0.4658
F1,0.7567
AUC,0.7216
AUPR,0.6443
