variable,value
n,3735
n_pos,1868
n_neg,1867
n_train,2392
n_train_pos,1216
n_train_neg,1176
n_test,1343
n_test_pos,652
n_test_neg,691
Accuracy,0.548
Precision,0.7848
Recall,0.0951
Specificity,0.9754
MCC,0.1497
F1,0.1696
AUC,0.5352
AUPR,0.5139
