variable,value
n,5550
n_pos,2782
n_neg,2768
n_train,3971
n_train_pos,1984
n_train_neg,1987
n_test,1579
n_test_pos,798
n_test_neg,781
Accuracy,0.4934
Precision,0.4993
Recall,0.9461
Specificity,0.0307
MCC,-0.0574
F1,0.6537
AUC,0.4884
AUPR,0.4997
