variable,value
n,5369
n_pos,2615
n_neg,2754
n_train,4276
n_train_pos,2088
n_train_neg,2188
n_test,1093
n_test_pos,527
n_test_neg,566
Accuracy,0.9735
Precision,0.968
Recall,0.9772
Specificity,0.97
MCC,0.9469
F1,0.9726
AUC,0.9736
AUPR,0.957
