variable,value
n,5550
n_pos,2782
n_neg,2768
n_train,3971
n_train_pos,1984
n_train_neg,1987
n_test,1579
n_test_pos,798
n_test_neg,781
Accuracy,0.5098
Precision,0.5078
Recall,0.9799
Specificity,0.0294
MCC,0.0303
F1,0.6689
AUC,0.5047
AUPR,0.5077
