variable,value
n,40046
n_pos,20023
n_neg,20023
n_train,20482
n_train_pos,10241
n_train_neg,10241
n_test,19564
n_test_pos,9782
n_test_neg,9782
Accuracy,0.8538
Precision,0.7867
Recall,0.9709
Specificity,0.7368
MCC,0.7279
F1,0.8691
AUC,0.8538
AUPR,0.7783
