variable,value
n,39171
n_pos,19587
n_neg,19584
n_train,28841
n_train_pos,14422
n_train_neg,14419
n_test,10330
n_test_pos,5165
n_test_neg,5165
Accuracy,0.8115
Precision,0.8399
Recall,0.7698
Specificity,0.8532
MCC,0.6252
F1,0.8033
AUC,0.8115
AUPR,0.7616
