variable,value
n,78926
n_pos,39904
n_neg,39022
n_train,66652
n_train_pos,33692
n_train_neg,32960
n_test,12274
n_test_pos,6212
n_test_neg,6062
Accuracy,0.8413
Precision,0.8027
Recall,0.9102
Specificity,0.7707
MCC,0.6884
F1,0.853
AUC,0.8404
AUPR,0.776
