variable,value
n,2835
n_pos,1397
n_neg,1438
n_train,1343
n_train_pos,652
n_train_neg,691
n_test,1492
n_test_pos,745
n_test_neg,747
Accuracy,0.4812
Precision,0.4866
Recall,0.7074
Specificity,0.2557
MCC,-0.0414
F1,0.5766
AUC,0.4815
AUPR,0.4903
