variable,value
n,17732
n_pos,8926
n_neg,8806
n_train,13018
n_train_pos,6569
n_train_neg,6449
n_test,4714
n_test_pos,2357
n_test_neg,2357
Accuracy,0.5019
Precision,0.501
Recall,0.9661
Specificity,0.0378
MCC,0.0103
F1,0.6598
AUC,0.5019
AUPR,0.501
