variable,value
n,5369
n_pos,2615
n_neg,2754
n_train,4276
n_train_pos,2088
n_train_neg,2188
n_test,1093
n_test_pos,527
n_test_neg,566
Accuracy,0.979
Precision,0.9884
Recall,0.9677
Specificity,0.9894
MCC,0.958
F1,0.9779
AUC,0.9786
AUPR,0.972
