variable,value
n,9663
n_pos,4824
n_neg,4839
n_train,7754
n_train_pos,3872
n_train_neg,3882
n_test,1909
n_test_pos,952
n_test_neg,957
Accuracy,0.6003
Precision,0.5852
Recall,0.6817
Specificity,0.5193
MCC,0.2037
F1,0.6298
AUC,0.6005
AUPR,0.5577
