variable,value
n,49106
n_pos,24553
n_neg,24553
n_train,39436
n_train_pos,19718
n_train_neg,19718
n_test,9670
n_test_pos,4835
n_test_neg,4835
Accuracy,0.9648
Precision,0.9828
Recall,0.9462
Specificity,0.9835
MCC,0.9303
F1,0.9642
AUC,0.9648
AUPR,0.9569
