variable,value
n,79788
n_pos,39894
n_neg,39894
n_train,67364
n_train_pos,33682
n_train_neg,33682
n_test,12424
n_test_pos,6212
n_test_neg,6212
Accuracy,0.8354
Precision,0.8015
Recall,0.8917
Specificity,0.7791
MCC,0.6751
F1,0.8442
AUC,0.8354
AUPR,0.7688
