variable,value
n,5369
n_pos,2615
n_neg,2754
n_train,4276
n_train_pos,2088
n_train_neg,2188
n_test,1093
n_test_pos,527
n_test_neg,566
Accuracy,0.9433
Precision,0.9774
Recall,0.9032
Specificity,0.9806
MCC,0.8885
F1,0.9389
AUC,0.9419
AUPR,0.9295
