Model	Dataset	Metric	Value	Split
topsyturvy	du	Accuracy	0.5357	Rewired
topsyturvy	du	Precision	0.8173	Rewired
topsyturvy	du	Sensitivity	0.0919	Rewired
topsyturvy	du	Recall	0.0919	Rewired
topsyturvy	du	Specificity	0.9795	Rewired
topsyturvy	du	MCC	0.1549	Rewired
topsyturvy	du	F1	0.1652	Rewired
topsyturvy	du	AUC	0.5356756756756756	Rewired
topsyturvy	du	AUPR	0.5291580041580042	Rewired
topsyturvy	du	TP	255	Rewired
topsyturvy	du	FP	57	Rewired
topsyturvy	du	TN	2718	Rewired
topsyturvy	du	FN	2520	Rewired
topsyturvy	guo	Accuracy	0.505	Rewired
topsyturvy	guo	Precision	0.6	Rewired
topsyturvy	guo	Sensitivity	0.0299	Rewired
topsyturvy	guo	Recall	0.0299	Rewired
topsyturvy	guo	Specificity	0.98	Rewired
topsyturvy	guo	MCC	0.032	Rewired
topsyturvy	guo	F1	0.057	Rewired
topsyturvy	guo	AUC	0.504988913525499	Rewired
topsyturvy	guo	AUPR	0.5029933481152994	Rewired
topsyturvy	guo	TP	27	Rewired
topsyturvy	guo	FP	18	Rewired
topsyturvy	guo	TN	884	Rewired
topsyturvy	guo	FN	875	Rewired
topsyturvy	huang	Accuracy	0.5	Rewired
topsyturvy	huang	Precision	0.0	Rewired
topsyturvy	huang	Sensitivity	0.0	Rewired
topsyturvy	huang	Recall	0.0	Rewired
topsyturvy	huang	Specificity	1.0	Rewired
topsyturvy	huang	MCC	nan	Rewired
topsyturvy	huang	F1	0.0	Rewired
topsyturvy	huang	AUC	0.5	Rewired
topsyturvy	huang	AUPR	0.5	Rewired
topsyturvy	huang	TP	0	Rewired
topsyturvy	huang	FP	0	Rewired
topsyturvy	huang	TN	475	Rewired
topsyturvy	huang	FN	475	Rewired
topsyturvy	pan	Accuracy	0.5788	Rewired
topsyturvy	pan	Precision	0.9496	Rewired
topsyturvy	pan	Sensitivity	0.1663	Rewired
topsyturvy	pan	Recall	0.1663	Rewired
topsyturvy	pan	Specificity	0.9912	Rewired
topsyturvy	pan	MCC	0.2786	Rewired
topsyturvy	pan	F1	0.2831	Rewired
topsyturvy	pan	AUC	0.5787557908669755	Rewired
topsyturvy	pan	AUPR	0.5747882447275813	Rewired
topsyturvy	pan	TP	754	Rewired
topsyturvy	pan	FP	40	Rewired
topsyturvy	pan	TN	4493	Rewired
topsyturvy	pan	FN	3779	Rewired
topsyturvy	richoux_regular	Accuracy	0.5212	Rewired
topsyturvy	richoux_regular	Precision	0.8718	Rewired
topsyturvy	richoux_regular	Sensitivity	0.0498	Rewired
topsyturvy	richoux_regular	Recall	0.0498	Rewired
topsyturvy	richoux_regular	Specificity	0.9927	Rewired
topsyturvy	richoux_regular	MCC	0.1275	Rewired
topsyturvy	richoux_regular	F1	0.0943	Rewired
topsyturvy	richoux_regular	AUC	0.5212471507652231	Rewired
topsyturvy	richoux_regular	AUPR	0.518523157077374	Rewired
topsyturvy	richoux_regular	TP	306	Rewired
topsyturvy	richoux_regular	FP	45	Rewired
topsyturvy	richoux_regular	TN	6097	Rewired
topsyturvy	richoux_regular	FN	5836	Rewired
topsyturvy	richoux_strict	Accuracy	0.5023	Rewired
topsyturvy	richoux_strict	Precision	0.5714	Rewired
topsyturvy	richoux_strict	Sensitivity	0.0182	Rewired
topsyturvy	richoux_strict	Recall	0.0182	Rewired
topsyturvy	richoux_strict	Specificity	0.9864	Rewired
topsyturvy	richoux_strict	MCC	0.0182	Rewired
topsyturvy	richoux_strict	F1	0.0352	Rewired
topsyturvy	richoux_strict	AUC	0.5022727272727272	Rewired
topsyturvy	richoux_strict	AUPR	0.5012987012987012	Rewired
topsyturvy	richoux_strict	TP	4	Rewired
topsyturvy	richoux_strict	FP	3	Rewired
topsyturvy	richoux_strict	TN	217	Rewired
topsyturvy	richoux_strict	FN	216	Rewired
topsyturvy	dscript	Accuracy	0.9139	Rewired
topsyturvy	dscript	Precision	0.7984	Rewired
topsyturvy	dscript	Sensitivity	0.0702	Rewired
topsyturvy	dscript	Recall	0.0702	Rewired
topsyturvy	dscript	Specificity	0.9982	Rewired
topsyturvy	dscript	MCC	0.2209	Rewired
topsyturvy	dscript	F1	0.129	Rewired
topsyturvy	dscript	AUC	0.5342037771042201	Rewired
topsyturvy	dscript	AUPR	0.14056106538881238	Rewired
topsyturvy	dscript	TP	301	Rewired
topsyturvy	dscript	FP	76	Rewired
topsyturvy	dscript	TN	42814	Rewired
topsyturvy	dscript	FN	3988	Rewired
