Model	Dataset	Metric	Value	Split
topsyturvy	du	Accuracy	0.4995	Rewired
topsyturvy	du	Precision	0.4737	Rewired
topsyturvy	du	Sensitivity	0.0097	Rewired
topsyturvy	du	Recall	0.0097	Rewired
topsyturvy	du	Specificity	0.9892	Rewired
topsyturvy	du	MCC	-0.0054	Rewired
topsyturvy	du	F1	0.0191	Rewired
topsyturvy	du	AUC	0.572341920298677	Rewired
topsyturvy	du	AUPR	0.5348384083811553	Rewired
topsyturvy	du	TP	27	Rewired
topsyturvy	du	FP	30	Rewired
topsyturvy	du	TN	2745	Rewired
topsyturvy	du	FN	2748	Rewired
topsyturvy	guo	Accuracy	0.6463	Rewired
topsyturvy	guo	Precision	0.6902	Rewired
topsyturvy	guo	Sensitivity	0.531	Rewired
topsyturvy	guo	Recall	0.531	Rewired
topsyturvy	guo	Specificity	0.7616	Rewired
topsyturvy	guo	MCC	0.3008	Rewired
topsyturvy	guo	F1	0.6003	Rewired
topsyturvy	guo	AUC	0.6868138553891081	Rewired
topsyturvy	guo	AUPR	0.6447520427687163	Rewired
topsyturvy	guo	TP	479	Rewired
topsyturvy	guo	FP	215	Rewired
topsyturvy	guo	TN	687	Rewired
topsyturvy	guo	FN	423	Rewired
topsyturvy	huang	Accuracy	0.5	Rewired
topsyturvy	huang	Precision	0.0	Rewired
topsyturvy	huang	Sensitivity	0.0	Rewired
topsyturvy	huang	Recall	0.0	Rewired
topsyturvy	huang	Specificity	1.0	Rewired
topsyturvy	huang	MCC	nan	Rewired
topsyturvy	huang	F1	0.0	Rewired
topsyturvy	huang	AUC	0.3864642659279778	Rewired
topsyturvy	huang	AUPR	0.4257969689514178	Rewired
topsyturvy	huang	TP	0	Rewired
topsyturvy	huang	FP	0	Rewired
topsyturvy	huang	TN	475	Rewired
topsyturvy	huang	FN	475	Rewired
topsyturvy	pan	Accuracy	0.8119	Rewired
topsyturvy	pan	Precision	0.9348	Rewired
topsyturvy	pan	Sensitivity	0.6706	Rewired
topsyturvy	pan	Recall	0.6706	Rewired
topsyturvy	pan	Specificity	0.9532	Rewired
topsyturvy	pan	MCC	0.6504	Rewired
topsyturvy	pan	F1	0.781	Rewired
topsyturvy	pan	AUC	0.8469759645288669	Rewired
topsyturvy	pan	AUPR	0.8760446801239744	Rewired
topsyturvy	pan	TP	3040	Rewired
topsyturvy	pan	FP	212	Rewired
topsyturvy	pan	TN	4321	Rewired
topsyturvy	pan	FN	1493	Rewired
topsyturvy	richoux_regular	Accuracy	0.7456	Rewired
topsyturvy	richoux_regular	Precision	0.9105	Rewired
topsyturvy	richoux_regular	Sensitivity	0.5448	Rewired
topsyturvy	richoux_regular	Recall	0.5448	Rewired
topsyturvy	richoux_regular	Specificity	0.9464	Rewired
topsyturvy	richoux_regular	MCC	0.5364	Rewired
topsyturvy	richoux_regular	F1	0.6817	Rewired
topsyturvy	richoux_regular	AUC	0.865566484124075	Rewired
topsyturvy	richoux_regular	AUPR	0.8684693701255202	Rewired
topsyturvy	richoux_regular	TP	3346	Rewired
topsyturvy	richoux_regular	FP	329	Rewired
topsyturvy	richoux_regular	TN	5813	Rewired
topsyturvy	richoux_regular	FN	2796	Rewired
topsyturvy	richoux_strict	Accuracy	0.7364	Rewired
topsyturvy	richoux_strict	Precision	0.8611	Rewired
topsyturvy	richoux_strict	Sensitivity	0.5636	Rewired
topsyturvy	richoux_strict	Recall	0.5636	Rewired
topsyturvy	richoux_strict	Specificity	0.9091	Rewired
topsyturvy	richoux_strict	MCC	0.5037	Rewired
topsyturvy	richoux_strict	F1	0.6813	Rewired
topsyturvy	richoux_strict	AUC	0.819710743801653	Rewired
topsyturvy	richoux_strict	AUPR	0.8150192433667419	Rewired
topsyturvy	richoux_strict	TP	124	Rewired
topsyturvy	richoux_strict	FP	20	Rewired
topsyturvy	richoux_strict	TN	200	Rewired
topsyturvy	richoux_strict	FN	96	Rewired
topsyturvy	dscript	Accuracy	0.9094	Rewired
topsyturvy	dscript	Precision	0.75	Rewired
topsyturvy	dscript	Sensitivity	0.0049	Rewired
topsyturvy	dscript	Recall	0.0049	Rewired
topsyturvy	dscript	Specificity	0.9998	Rewired
topsyturvy	dscript	MCC	0.0559	Rewired
topsyturvy	dscript	F1	0.0097	Rewired
topsyturvy	dscript	AUC	0.9135982530747566	Rewired
topsyturvy	dscript	AUPR	0.6791057971785863	Rewired
topsyturvy	dscript	TP	21	Rewired
topsyturvy	dscript	FP	7	Rewired
topsyturvy	dscript	TN	42883	Rewired
topsyturvy	dscript	FN	4268	Rewired
