Model	Dataset	Metric	Value	Split
dscript	gold_01	Accuracy	0.498	Original
dscript	gold_01	Precision	0.2941	Original
dscript	gold_01	Sensitivity	0.0029	Original
dscript	gold_01	Recall	0.0029	Original
dscript	gold_01	Specificity	0.993	Original
dscript	gold_01	MCC	-0.029	Original
dscript	gold_01	F1	0.0058	Original
dscript	gold_01	AUC	0.46930679639090556	Original
dscript	gold_01	AUPR	0.4624153137311858	Original
dscript	gold_01	TP	60	Original
dscript	gold_01	FP	144	Original
dscript	gold_01	TN	20479	Original
dscript	gold_01	FN	20563	Original
dscript	gold_02	Accuracy	0.5506	Original
dscript	gold_02	Precision	0.755	Original
dscript	gold_02	Sensitivity	0.1499	Original
dscript	gold_02	Recall	0.1499	Original
dscript	gold_02	Specificity	0.9514	Original
dscript	gold_02	MCC	0.1693	Original
dscript	gold_02	F1	0.2501	Original
dscript	gold_02	AUC	0.5562016814872588	Original
dscript	gold_02	AUPR	0.5781314838666045	Original
dscript	gold_02	TP	3091	Original
dscript	gold_02	FP	1003	Original
dscript	gold_02	TN	19620	Original
dscript	gold_02	FN	17532	Original
dscript	gold_03	Accuracy	0.4986	Original
dscript	gold_03	Precision	0.4973	Original
dscript	gold_03	Sensitivity	0.2528	Original
dscript	gold_03	Recall	0.2528	Original
dscript	gold_03	Specificity	0.7444	Original
dscript	gold_03	MCC	-0.0032	Original
dscript	gold_03	F1	0.3352	Original
dscript	gold_03	AUC	0.4922033056179841	Original
dscript	gold_03	AUPR	0.49579054978174514	Original
dscript	gold_03	TP	5214	Original
dscript	gold_03	FP	5271	Original
dscript	gold_03	TN	15352	Original
dscript	gold_03	FN	15409	Original
dscript	gold_04	Accuracy	0.5076	Original
dscript	gold_04	Precision	0.5143	Original
dscript	gold_04	Sensitivity	0.2729	Original
dscript	gold_04	Recall	0.2729	Original
dscript	gold_04	Specificity	0.7423	Original
dscript	gold_04	MCC	0.0172	Original
dscript	gold_04	F1	0.3565	Original
dscript	gold_04	AUC	0.5054568178733306	Original
dscript	gold_04	AUPR	0.5038989822255305	Original
dscript	gold_04	TP	5627	Original
dscript	gold_04	FP	5314	Original
dscript	gold_04	TN	15309	Original
dscript	gold_04	FN	14996	Original
dscript	gold_05	Accuracy	0.4928	Original
dscript	gold_05	Precision	0.4866	Original
dscript	gold_05	Sensitivity	0.26	Original
dscript	gold_05	Recall	0.26	Original
dscript	gold_05	Specificity	0.7257	Original
dscript	gold_05	MCC	-0.0162	Original
dscript	gold_05	F1	0.3389	Original
dscript	gold_05	AUC	0.49120855740803393	Original
dscript	gold_05	AUPR	0.4938182258849511	Original
dscript	gold_05	TP	5362	Original
dscript	gold_05	FP	5657	Original
dscript	gold_05	TN	14966	Original
dscript	gold_05	FN	15261	Original
dscript	gold_06	Accuracy	0.5085	Original
dscript	gold_06	Precision	0.5086	Original
dscript	gold_06	Sensitivity	0.5041	Original
dscript	gold_06	Recall	0.5041	Original
dscript	gold_06	Specificity	0.5129	Original
dscript	gold_06	MCC	0.017	Original
dscript	gold_06	F1	0.5064	Original
dscript	gold_06	AUC	0.5041007669053982	Original
dscript	gold_06	AUPR	0.5100253737961925	Original
dscript	gold_06	TP	10397	Original
dscript	gold_06	FP	10046	Original
dscript	gold_06	TN	10577	Original
dscript	gold_06	FN	10226	Original
dscript	gold_07	Accuracy	0.5246	Original
dscript	gold_07	Precision	0.5311	Original
dscript	gold_07	Sensitivity	0.4201	Original
dscript	gold_07	Recall	0.4201	Original
dscript	gold_07	Specificity	0.6292	Original
dscript	gold_07	MCC	0.0504	Original
dscript	gold_07	F1	0.4691	Original
dscript	gold_07	AUC	0.5322919092383489	Original
dscript	gold_07	AUPR	0.5407805788550412	Original
dscript	gold_07	TP	8664	Original
dscript	gold_07	FP	7648	Original
dscript	gold_07	TN	12975	Original
dscript	gold_07	FN	11959	Original
dscript	gold_08	Accuracy	0.5121	Original
dscript	gold_08	Precision	0.5128	Original
dscript	gold_08	Sensitivity	0.4834	Original
dscript	gold_08	Recall	0.4834	Original
dscript	gold_08	Specificity	0.5408	Original
dscript	gold_08	MCC	0.0242	Original
dscript	gold_08	F1	0.4977	Original
dscript	gold_08	AUC	0.5138398318739872	Original
dscript	gold_08	AUPR	0.5237913343896571	Original
dscript	gold_08	TP	9969	Original
dscript	gold_08	FP	9470	Original
dscript	gold_08	TN	11153	Original
dscript	gold_08	FN	10654	Original
dscript	gold_09	Accuracy	0.4883	Original
dscript	gold_09	Precision	0.4888	Original
dscript	gold_09	Sensitivity	0.5112	Original
dscript	gold_09	Recall	0.5112	Original
dscript	gold_09	Specificity	0.4655	Original
dscript	gold_09	MCC	-0.0233	Original
dscript	gold_09	F1	0.4998	Original
dscript	gold_09	AUC	0.4842657627642006	Original
dscript	gold_09	AUPR	0.48530871126868336	Original
dscript	gold_09	TP	10542	Original
dscript	gold_09	FP	11023	Original
dscript	gold_09	TN	9600	Original
dscript	gold_09	FN	10081	Original
dscript	gold_10	Accuracy	0.5	Original
dscript	gold_10	Precision	0.5	Original
dscript	gold_10	Sensitivity	0.1777	Original
dscript	gold_10	Recall	0.1777	Original
dscript	gold_10	Specificity	0.8223	Original
dscript	gold_10	MCC	0.0	Original
dscript	gold_10	F1	0.2622	Original
dscript	gold_10	AUC	0.5029015869104161	Original
dscript	gold_10	AUPR	0.504400365920845	Original
dscript	gold_10	TP	3664	Original
dscript	gold_10	FP	3664	Original
dscript	gold_10	TN	16959	Original
dscript	gold_10	FN	16959	Original
