Dataset	AUC	AUPR
original_guo_17612	0.6419	0.6198
rewired_guo_17612	0.6431	0.6264
original_guo_29715	0.6264	0.6237
rewired_guo_29715	0.6338	0.6238
original_guo_30940	0.6191	0.6069
rewired_guo_30940	0.6397	0.6319
original_guo_31191	0.6489	0.6517
rewired_guo_31191	0.6314	0.6027
original_guo_42446	0.6353	0.6245
rewired_guo_42446	0.6514	0.6481
original_guo_50495	0.641	0.6291
rewired_guo_50495	0.6502	0.6505
original_guo_60688	0.6491	0.6426
rewired_guo_60688	0.6311	0.6223
original_guo_7413	0.6349	0.6291
rewired_guo_7413	0.6457	0.6208
original_guo_75212	0.6332	0.6198
rewired_guo_75212	0.6392	0.6182
original_guo_81645	0.6266	0.6084
rewired_guo_81645	0.6392	0.6081
original_huang_17612	0.7239	0.7656
rewired_huang_17612	0.7042	0.7272
original_huang_29715	0.7349	0.771
rewired_huang_29715	0.687	0.6976
original_huang_30940	0.7136	0.7545
rewired_huang_30940	0.7048	0.7338
original_huang_31191	0.6972	0.7258
rewired_huang_31191	0.6678	0.6862
original_huang_42446	0.7361	0.7642
rewired_huang_42446	0.7236	0.7323
original_huang_50495	0.7308	0.7664
rewired_huang_50495	0.7043	0.7189
original_huang_60688	0.7371	0.778
rewired_huang_60688	0.7102	0.7272
original_huang_7413	0.7279	0.7562
rewired_huang_7413	0.7048	0.7179
original_huang_75212	0.7273	0.7555
rewired_huang_75212	0.6924	0.7148
original_huang_81645	0.6956	0.7285
rewired_huang_81645	0.7002	0.7116
