Dataset	Train	Test	AUC	AUPR
du	both	0	0.6884	0.6979
du	both	1	0.6901	0.7199
du	0	1	0.5164	0.5408
guo	both	0	0.6753	0.6871
guo	both	1	0.6217	0.6688
guo	0	1	0.481	0.5165
huang	both	0	0.6604	0.6726
huang	both	1	0.5952	0.6232
huang	0	1	0.4855	0.497
richoux	both	0	0.7823	0.8022
richoux	both	1	0.748	0.7974
richoux	0	1	0.577	0.6098
pan	both	0	0.7321	0.7404
pan	both	1	0.7077	0.7443
pan	0	1	0.448	0.497
